Depth(ft),ROP(1 ft),weight on bit (k-lbs),Temp Out( degF),Temp In(degF),Pit Total (bbls),Pump Press (psi),Hookload (k-lbs),Surface Torque (KPa),Rotary Speed (rpm),Flow In (gal/min),Flow Out %,WH Pressure (psi)
430.72,44.77,3.88,107.63,107.91,263.69,372.98,55.8,31.65,84.92,897.78,59.02,5.21
431.74,156,11.59,107.75,107.95,263.28,368.41,48.09,31.65,79.36,891.64,58.32,5.21
432.78,267.42,9.34,107.86,107.99,263.23,369.93,50.34,31.65,83.45,894.3,58.87,5.21
433.8,141.14,16.89,107.82,107.99,263.13,366.12,42.79,31.65,80.25,891.84,58.73,5.21
434.82,122.4,9.02,107.86,107.99,262.91,367.26,50.66,31.85,84.98,894.3,59.05,5.21
435.86,176.72,14.06,107.86,108.03,262.91,367.64,45.62,31.85,84.89,895.94,58.7,5.21
436.88,108,14.32,107.86,107.99,262.7,366.12,45.36,31.85,84.4,897.99,59.6,4.83
437.9,114.75,10.86,107.86,108.03,262.61,367.64,48.82,31.85,85.44,899.01,58.43,5.21
438.92,174.86,2.68,107.94,107.99,262.33,369.17,57.01,31.85,93.64,894.71,58.35,5.21
439.96,178.29,10.81,107.97,108.03,262.27,368.79,48.87,31.85,90.99,892.25,59.17,5.21
441,178.14,9.5,107.9,108.07,261.71,369.55,50.19,31.85,88.18,891.23,58.46,5.21
442.02,126.55,8.76,107.9,108.1,261.5,367.26,50.92,31.85,83.57,885.91,58.02,5.21
443.06,176.72,13.59,107.82,108.18,261.48,370.31,46.09,31.85,86.23,887.75,57.67,5.21
444.08,159.65,6.71,107.78,108.26,261.2,367.26,52.97,31.85,86.02,882.63,57.73,5.21
445.15,118.16,7.14,109.19,108.22,268.9,395.09,52.26,31.37,73.2,894.69,59.84,5.59
